"site","site_code","season","replicate","tube","phenotype","reads","clade","hudsonica","clade_id","coverage","joined","bam","exclude"
"Manatee River","MR","late",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Manatee River","MR","late",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Manatee River","MR","late",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",1,10,"yes","yes","X","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","peak",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",1,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,3,"yes","yes","F","no","yes","yes","yes","no","yes"
"Ft. Hamer","FH","late",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Ft. Hamer","FH","late",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,2,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,3,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,9,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",1,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,1,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,2,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,3,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,4,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,5,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,6,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,7,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,8,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,9,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","early",2,10,"yes","yes","F","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,1,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,2,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,3,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,4,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,5,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,6,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,7,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,8,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,9,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",1,10,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,1,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,2,"yes","yes","S","no","yes","yes","yes","no","yes"
"Tyler Cove","MD","peak",2,3,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,4,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,5,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,6,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,7,"yes","yes","S","no","yes","yes","yes","yes","no"
"Tyler Cove","MD","peak",2,8,"yes","yes","S","no","yes","yes","yes","yes","no"
