"","sample","genome_territory","mean_coverage","sd_coverage","pct_1x","pct_5x","total_reads","pf_hq_aligned_reads"
"285","MR_late_1_09",950193284,0.701747,3.265016,0.145233,0.053178,9259196,9259196
"286","MR_late_1_10",950193284,0.944979,3.647038,0.198003,0.072041,10065131,10065131
"287","MR_late_2_01",950193284,0.703294,3.301606,0.143966,0.053133,9266998,9266998
"288","MR_late_2_02",950193284,0.950932,4.251039,0.169371,0.070235,12418534,12418534
"289","MR_late_2_03",950193284,0.663081,3.203394,0.141067,0.049366,8725340,8725340
"290","MR_late_2_04",950193284,1.124364,3.972101,0.223312,0.086895,11983214,11983214
"291","MR_late_2_05",950193284,1.392744,4.689678,0.249141,0.107494,14968379,14968379
"292","MR_late_2_06",950193284,1.472691,4.720555,0.262958,0.114691,15778224,15778224
"293","MR_late_2_07",950193284,1.961042,6.410518,0.2838,0.142714,21285517,21285517
"294","MR_late_2_08",950193284,2.973446,8.759324,0.333911,0.195717,32586519,32586519
"295","MR_late_2_09",950193284,2.136489,6.695057,0.295487,0.15441,23138125,23138125
"296","MR_late_2_10",950193284,2.05851,6.761717,0.286199,0.146882,22361046,22361046
"297","MR_peak_1_01",950193284,1.081609,3.887467,0.218717,0.08377,11601847,11601847
"298","MR_peak_1_02",950193284,0.969031,3.553914,0.20097,0.075804,10373418,10373418
"299","MR_peak_1_03",950193284,1.194511,4.070335,0.231923,0.093947,12751817,12751817
"300","MR_peak_1_04",950193284,0.819978,3.142962,0.183953,0.063041,8774594,8774594
"301","MR_peak_1_05",950193284,1.472142,4.634271,0.259619,0.114204,15724803,15724803
"302","MR_peak_1_06",950193284,1.115683,3.831393,0.225724,0.08748,11876449,11876449
"303","MR_peak_1_07",950193284,1.233735,4.200384,0.23859,0.096277,13242033,13242033
"304","MR_peak_1_08",950193284,1.037955,3.735093,0.214274,0.080493,11230429,11230429
"305","MR_peak_1_09",950193284,1.237602,4.478227,0.231465,0.095776,13263660,13263660
"306","MR_peak_1_10",950193284,1.168686,4.30747,0.218969,0.088939,12404076,12404076
"307","MR_peak_2_01",950193284,0.6089,2.508233,0.151116,0.045901,6416568,6416568
"308","MR_peak_2_02",950193284,0.802488,3.151513,0.181375,0.061701,8535169,8535169
"309","MR_peak_2_03",950193284,0.695406,2.797124,0.164273,0.053052,7346974,7346974
"310","MR_peak_2_04",950193284,1.457497,4.80769,0.260421,0.112139,15486906,15486906
"311","MR_peak_2_05",950193284,1.451342,4.858988,0.259975,0.110998,15519569,15519569
"312","MR_peak_2_06",950193284,1.804796,5.78253,0.279493,0.135447,19312833,19312833
"313","MR_peak_2_07",950193284,1.809748,5.540666,0.285956,0.138863,19473999,19473999
"314","MR_peak_2_08",950193284,1.501713,5.108466,0.250574,0.114352,16077641,16077641
"315","MR_peak_2_09",950193284,1.351876,4.713972,0.239738,0.10396,14449236,14449236
"316","MR_peak_2_10",950193284,1.672232,5.349844,0.269362,0.128005,17965950,17965950
"317","RW_early_1_01",950193284,2.245894,5.27775,0.393494,0.179082,19152243,19152243
"318","RW_early_1_02",950193284,1.628677,4.239954,0.32448,0.129758,13822966,13822966
"319","RW_early_1_03",950193284,1.714716,4.51883,0.329475,0.135602,14584662,14584662
"320","RW_early_1_04",950193284,3.056444,6.801106,0.447626,0.234096,26099653,26099653
"321","RW_early_1_05",950193284,2.443104,5.481768,0.407918,0.194359,20747732,20747732
"322","RW_early_1_06",950193284,1.575154,4.18502,0.316492,0.124899,13369968,13369968
"323","RW_early_1_07",950193284,1.805614,4.55397,0.347414,0.143345,15348845,15348845
"324","RW_early_1_08",950193284,3.283986,7.385061,0.453683,0.24467,28139823,28139823
"325","RW_early_1_09",950193284,1.402829,3.924202,0.290904,0.111006,12096239,12096239
"326","RW_early_1_10",950193284,0.943901,2.781145,0.231096,0.073418,8158259,8158259
"327","RW_early_2_01",950193284,0.000689,0.03387,0.000575,7e-06,8766,8766
"328","RW_early_2_02",950193284,1.515827,3.928233,0.306143,0.12145,13015486,13015486
"329","RW_early_2_03",950193284,0.000827,0.033727,0.000743,3e-06,9498,9498
"330","RW_early_2_04",950193284,1.282073,3.497937,0.275904,0.1026,11043824,11043824
"331","RW_early_2_05",950193284,0.000851,0.031997,0.000789,1e-06,9987,9987
"332","RW_early_2_06",950193284,1.249187,3.470795,0.27661,0.098701,10792460,10792460
"333","RW_early_2_07",950193284,1.500367,4.100135,0.300107,0.119193,12939956,12939956
"334","RW_early_2_08",950193284,1.485812,3.909988,0.304163,0.119321,12881482,12881482
"335","RW_early_2_09",950193284,0.008305,0.182043,0.003471,0.000462,73591,73591
"336","RW_early_2_10",950193284,1.702486,4.390645,0.325825,0.136915,14687847,14687847
"337","RW_late_1_01",950193284,1.316348,3.662694,0.29518,0.102879,11131932,11131932
"338","RW_late_1_02",950193284,0.996871,3.124074,0.236058,0.076568,8409060,8409060
"339","RW_late_1_03",950193284,0.744639,4.582103,0.133565,0.0507,9833585,9833585
"340","RW_late_1_04",950193284,0.622987,3.864312,0.122826,0.043714,8140681,8140681
"341","RW_late_1_05",950193284,1.328444,3.962887,0.283669,0.102584,11193298,11193298
"342","RW_late_1_06",950193284,0.673345,4.154486,0.128661,0.046779,8888578,8888578
"343","RW_late_1_07",950193284,1.092657,3.74683,0.24201,0.081586,9303253,9303253
"344","RW_late_1_08",950193284,1.124839,3.740324,0.246912,0.084698,9552327,9552327
"345","RW_late_1_09",950193284,1.445389,3.859604,0.313479,0.113963,12411633,12411633
