"collection_date","site","season","collection_temp","collection_salinity","exp_date","days_in_lab","run","replicate","tube","rank","size","time","ramp_rate","ctmax","warming_tol"
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,1,3,0.99,74,0.22661713286712,32.4114583333333,22.4114583333333
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,2,5,1.034,70.1166666666667,0.22744755244754,31.5347222222222,21.5347222222222
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,3,7,1.038,57.0666666666667,0.234615384615381,28.5787037037037,18.5787037037037
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,4,6,0.98,61.55,0.245279720279716,29.6160714285714,19.6160714285714
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,5,9,0.986,51.8166666666667,0.257167832167822,27.2670454545455,17.2670454545455
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,6,8,0.994,52.2166666666667,0.252097902097891,27.3726851851852,17.3726851851852
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,7,1,1.06,81.6833333333333,0.204020979020975,34.0208333333333,24.0208333333333
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,8,2,0.98,79.35,0.20874125874125,33.5625,23.5625
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,9,4,0.95,72.6166666666667,0.227272727272717,32.0833333333333,22.0833333333333
2023-11-20,"Esker Point","late",10,36,2023-11-20,0,40,2,10,10,1.03,50.6666666666667,0.263986013986004,26.96875,16.96875
