"collection_date","site","season","collection_temp","collection_salinity","exp_date","days_in_lab","run","replicate","tube","rank","size","time","ramp_rate","ctmax","warming_tol"
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,1,5,0.758,14.7,0.188636363636353,35.9340277777778,7.43402777777778
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,2,9,0.704,10.3333333333333,0.187062937062922,35.0265151515151,6.52651515151515
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,3,10,0.754,7.2,0.185839160839146,34.4045138888889,5.90451388888889
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,4,4,0.697,15.1333333333333,0.1840909090909,36.03125,7.53125
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,5,3,0.724,15.3833333333333,0.1840909090909,36.0972222222222,7.59722222222222
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,6,7,0.698,13.85,0.188811188811177,35.7578125,7.2578125
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,7,2,0.72,17.7666666666667,0.173426573426562,36.5520833333333,8.05208333333334
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,8,1,0.726,20.9666666666667,0.177097902097891,37.1458333333333,8.64583333333334
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,9,8,0.756,11.7333333333333,0.189685314685299,35.325,6.825
2023-08-25,"Ganey's Wharf","peak",28.5,3,2023-08-25,0,18,2,10,6,0.72,14.35,0.188636363636353,35.8511904761905,7.35119047619047
