"sample","population","season","rep","tube","Clade"
"TK_early_2_03","TK","early",2,"03","X"
"TK_early_2_04","TK","early",2,"04","X"
"TK_early_2_05","TK","early",2,"05","X"
"TK_early_2_07","TK","early",2,"07","IV"
"TK_early_2_09","TK","early",2,"09","X"
"TK_early_2_10","TK","early",2,"10","X"
"TK_early_2_10","TK","early",2,"10","F"
"TK_late_1_01","TK","late",1,"01","IV"
"TK_late_1_02","TK","late",1,"02","IV"
"TK_late_1_03","TK","late",1,"03","IV"
"TK_late_1_04","TK","late",1,"04","IV"
"TK_late_1_04","TK","late",1,"04","S"
"TK_late_1_05","TK","late",1,"05","IV"
"TK_late_1_06","TK","late",1,"06","IV"
"TK_late_1_07","TK","late",1,"07","IV"
"TK_late_1_08","TK","late",1,"08","IV"
"TK_late_1_08","TK","late",1,"08","X"
"TK_late_1_08","TK","late",1,"08","S"
"TK_late_1_09","TK","late",1,"09","IV"
"TK_late_1_10","TK","late",1,"10","IV"
"TK_late_2_01","TK","late",2,"01","IV"
"TK_late_2_02","TK","late",2,"02","IV"
"TK_late_2_03","TK","late",2,"03","IV"
"TK_late_2_04","TK","late",2,"04","IV"
"TK_late_2_05","TK","late",2,"05","IV"
"TK_late_2_05","TK","late",2,"05","S"
"TK_late_2_06","TK","late",2,"06","IV"
"TK_late_2_07","TK","late",2,"07","IV"
"TK_late_2_08","TK","late",2,"08","IV"
"TK_late_2_09","TK","late",2,"09","IV"
"TK_late_2_09","TK","late",2,"09","F"
"TK_late_2_10","TK","late",2,"10","IV"
"TK_peak_1_01","TK","peak",1,"01","X"
"TK_peak_1_02","TK","peak",1,"02","X"
"TK_peak_1_03","TK","peak",1,"03","X"
"TK_peak_1_03","TK","peak",1,"03","F"
"TK_peak_1_04","TK","peak",1,"04","X"
"TK_peak_1_05","TK","peak",1,"05","X"
"TK_peak_1_06","TK","peak",1,"06","X"
"TK_peak_1_06","TK","peak",1,"06","F"
"TK_peak_1_07","TK","peak",1,"07","X"
"TK_peak_1_08","TK","peak",1,"08","X"
"TK_peak_1_09","TK","peak",1,"09","X"
"TK_peak_1_09","TK","peak",1,"09","F"
"TK_peak_1_09","TK","peak",1,"09","IV"
"TK_peak_1_10","TK","peak",1,"10","X"
"TK_peak_2_01","TK","peak",2,"01","X"
"TK_peak_2_01","TK","peak",2,"01","IV"
"TK_peak_2_02","TK","peak",2,"02","X"
"TK_peak_2_02","TK","peak",2,"02","S"
"TK_peak_2_03","TK","peak",2,"03","X"
"TK_peak_2_04","TK","peak",2,"04","X"
"TK_peak_2_05","TK","peak",2,"05","X"
"TK_peak_2_06","TK","peak",2,"06","X"
"TK_peak_2_07","TK","peak",2,"07","X"
"TK_peak_2_09","TK","peak",2,"09","X"
"TK_peak_2_10","TK","peak",2,"10","IV"
"TK_peak_2_08","TK","peak",2,"08","IV"
