"sample","Clade","n","population","season","individual"
"ME_early_2_07","X",90,"ME","early","2_07"
"ME_early_2_08","X",56770,"ME","early","2_08"
"ME_early_2_10","S",50536,"ME","early","2_10"
"ME_early_2_10","X",112,"ME","early","2_10"
"ME_late_1_01","A_hudsonica",3,"ME","late","1_01"
"ME_late_1_01","IV",2815,"ME","late","1_01"
"ME_late_1_01","X",144,"ME","late","1_01"
"ME_late_1_02","A_hudsonica",2336,"ME","late","1_02"
"ME_late_1_02","X",20,"ME","late","1_02"
"ME_late_1_03","A_hudsonica",1028,"ME","late","1_03"
"ME_late_1_03","IV",9,"ME","late","1_03"
"ME_late_1_04","A_hudsonica",643,"ME","late","1_04"
"ME_late_1_04","IV",8,"ME","late","1_04"
"ME_late_1_05","A_hudsonica",1842,"ME","late","1_05"
"ME_late_1_05","X",47,"ME","late","1_05"
"ME_late_1_06","A_hudsonica",1002,"ME","late","1_06"
"ME_late_1_07","A_hudsonica",1369,"ME","late","1_07"
"ME_late_1_07","F",26,"ME","late","1_07"
"ME_late_1_08","A_hudsonica",1045,"ME","late","1_08"
"ME_late_1_09","A_hudsonica",4555,"ME","late","1_09"
"ME_late_1_09","IV",5,"ME","late","1_09"
"ME_late_1_09","S",100,"ME","late","1_09"
"ME_late_1_10","A_hudsonica",2403,"ME","late","1_10"
"ME_late_2_01","IV",7748,"ME","late","2_01"
"ME_late_2_01","S",114,"ME","late","2_01"
"ME_late_2_02","F",134,"ME","late","2_02"
"ME_late_2_02","X",6983,"ME","late","2_02"
"ME_late_2_03","F",50,"ME","late","2_03"
"ME_late_2_03","IV",1876,"ME","late","2_03"
"ME_late_2_03","X",20,"ME","late","2_03"
"ME_late_2_04","IV",9121,"ME","late","2_04"
"ME_late_2_04","X",1,"ME","late","2_04"
"ME_late_2_05","A_hudsonica",4,"ME","late","2_05"
"ME_late_2_05","F",19,"ME","late","2_05"
"ME_late_2_05","X",20227,"ME","late","2_05"
"ME_late_2_06","F",6,"ME","late","2_06"
"ME_late_2_06","IV",2011,"ME","late","2_06"
"ME_late_2_07","X",25450,"ME","late","2_07"
"ME_peak_1_01","X",5835,"ME","peak","1_01"
"ME_peak_1_02","X",7517,"ME","peak","1_02"
"ME_peak_1_03","S",45,"ME","peak","1_03"
"ME_peak_1_03","X",11550,"ME","peak","1_03"
"ME_peak_1_04","A_hudsonica",1078,"ME","peak","1_04"
"ME_peak_1_04","X",132,"ME","peak","1_04"
"ME_peak_1_05","F",64,"ME","peak","1_05"
"ME_peak_1_05","IV",5,"ME","peak","1_05"
"ME_peak_1_05","X",16714,"ME","peak","1_05"
"ME_peak_1_06","F",12,"ME","peak","1_06"
"ME_peak_1_06","S",2,"ME","peak","1_06"
"ME_peak_1_06","X",4501,"ME","peak","1_06"
"ME_peak_1_07","X",23093,"ME","peak","1_07"
"ME_peak_1_08","F",13,"ME","peak","1_08"
"ME_peak_1_08","S",51,"ME","peak","1_08"
"ME_peak_1_08","X",7195,"ME","peak","1_08"
"ME_peak_1_09","F",119,"ME","peak","1_09"
"ME_peak_1_09","IV",5996,"ME","peak","1_09"
"ME_peak_1_09","S",91,"ME","peak","1_09"
"ME_peak_1_10","F",28,"ME","peak","1_10"
"ME_peak_1_10","S",178,"ME","peak","1_10"
"ME_peak_1_10","X",15470,"ME","peak","1_10"
"ME_peak_2_01","S",334,"ME","peak","2_01"
"ME_peak_2_01","X",38859,"ME","peak","2_01"
"ME_peak_2_02","F",54,"ME","peak","2_02"
"ME_peak_2_02","S",11,"ME","peak","2_02"
"ME_peak_2_02","X",43222,"ME","peak","2_02"
"ME_peak_2_03","F",13,"ME","peak","2_03"
"ME_peak_2_03","S",48,"ME","peak","2_03"
"ME_peak_2_03","X",12779,"ME","peak","2_03"
"ME_peak_2_04","F",92,"ME","peak","2_04"
"ME_peak_2_04","X",65293,"ME","peak","2_04"
"ME_peak_2_05","F",22,"ME","peak","2_05"
"ME_peak_2_05","X",18924,"ME","peak","2_05"
"ME_peak_2_06","F",34,"ME","peak","2_06"
"ME_peak_2_06","X",47248,"ME","peak","2_06"
"ME_peak_2_07","X",39360,"ME","peak","2_07"
"ME_peak_2_08","S",11,"ME","peak","2_08"
"ME_peak_2_09","X",6136,"ME","peak","2_09"
"ME_peak_2_10","X",43,"ME","peak","2_10"
"TK_early_1_01","F",4,"TK","early","1_01"
"TK_early_1_01","IV",35,"TK","early","1_01"
"TK_early_1_01","S",76,"TK","early","1_01"
"TK_early_1_01","X",8148,"TK","early","1_01"
"TK_early_1_02","IV",1752,"TK","early","1_02"
"TK_early_1_02","S",6,"TK","early","1_02"
"TK_early_1_03","F",34,"TK","early","1_03"
"TK_early_1_03","X",23596,"TK","early","1_03"
"TK_early_1_04","A_hudsonica",9,"TK","early","1_04"
"TK_early_1_04","F",40,"TK","early","1_04"
"TK_early_1_04","IV",5,"TK","early","1_04"
"TK_early_1_04","X",37475,"TK","early","1_04"
"TK_early_1_05","F",117,"TK","early","1_05"
"TK_early_1_05","S",11,"TK","early","1_05"
"TK_early_1_05","X",17606,"TK","early","1_05"
"TK_early_1_06","F",18,"TK","early","1_06"
"TK_early_1_06","IV",14,"TK","early","1_06"
"TK_early_1_06","S",45,"TK","early","1_06"
"TK_early_1_06","X",8202,"TK","early","1_06"
"TK_early_1_07","F",107,"TK","early","1_07"
"TK_early_1_07","X",25829,"TK","early","1_07"
"TK_early_1_08","F",8,"TK","early","1_08"
"TK_early_1_08","X",7487,"TK","early","1_08"
"TK_early_1_09","IV",1503,"TK","early","1_09"
"TK_early_1_09","S",12,"TK","early","1_09"
"TK_early_1_10","S",14,"TK","early","1_10"
"TK_early_2_01","X",4847,"TK","early","2_01"
"TK_early_2_02","F",3,"TK","early","2_02"
"TK_early_2_03","X",7414,"TK","early","2_03"
"TK_early_2_04","X",132,"TK","early","2_04"
"TK_early_2_05","F",13,"TK","early","2_05"
"TK_early_2_05","X",15103,"TK","early","2_05"
"TK_early_2_07","F",16,"TK","early","2_07"
"TK_early_2_07","IV",3346,"TK","early","2_07"
"TK_early_2_07","X",210,"TK","early","2_07"
"TK_early_2_09","X",15014,"TK","early","2_09"
"TK_early_2_10","F",7,"TK","early","2_10"
"TK_early_2_10","X",11025,"TK","early","2_10"
"TK_late_1_01","F",4,"TK","late","1_01"
"TK_late_1_01","IV",1834,"TK","late","1_01"
"TK_late_1_01","S",6,"TK","late","1_01"
"TK_late_1_02","IV",3271,"TK","late","1_02"
"TK_late_1_02","X",69,"TK","late","1_02"
"TK_late_1_03","IV",1729,"TK","late","1_03"
"TK_late_1_04","F",14,"TK","late","1_04"
"TK_late_1_04","IV",959,"TK","late","1_04"
"TK_late_1_04","S",65,"TK","late","1_04"
"TK_late_1_05","F",6,"TK","late","1_05"
"TK_late_1_05","IV",1450,"TK","late","1_05"
"TK_late_1_06","IV",938,"TK","late","1_06"
"TK_late_1_07","IV",817,"TK","late","1_07"
"TK_late_1_08","F",28,"TK","late","1_08"
"TK_late_1_08","IV",745,"TK","late","1_08"
"TK_late_1_08","S",3,"TK","late","1_08"
"TK_late_1_08","X",20,"TK","late","1_08"
"TK_late_1_09","F",8,"TK","late","1_09"
"TK_late_1_09","IV",2951,"TK","late","1_09"
"TK_late_1_10","IV",16768,"TK","late","1_10"
"TK_late_1_10","X",23,"TK","late","1_10"
"TK_late_2_01","IV",2424,"TK","late","2_01"
"TK_late_2_02","IV",318,"TK","late","2_02"
"TK_late_2_03","F",6,"TK","late","2_03"
"TK_late_2_03","IV",5526,"TK","late","2_03"
"TK_late_2_04","F",14,"TK","late","2_04"
"TK_late_2_04","IV",5127,"TK","late","2_04"
"TK_late_2_04","S",29,"TK","late","2_04"
"TK_late_2_05","IV",4344,"TK","late","2_05"
"TK_late_2_05","S",27,"TK","late","2_05"
"TK_late_2_06","F",14,"TK","late","2_06"
"TK_late_2_06","IV",5891,"TK","late","2_06"
"TK_late_2_06","S",3,"TK","late","2_06"
"TK_late_2_07","IV",7495,"TK","late","2_07"
"TK_late_2_08","A_hudsonica",1,"TK","late","2_08"
"TK_late_2_08","IV",2323,"TK","late","2_08"
"TK_late_2_09","F",60,"TK","late","2_09"
"TK_late_2_09","IV",4219,"TK","late","2_09"
"TK_late_2_10","F",17,"TK","late","2_10"
"TK_late_2_10","IV",3681,"TK","late","2_10"
"TK_late_2_10","X",43,"TK","late","2_10"
"TK_peak_1_01","F",4,"TK","peak","1_01"
"TK_peak_1_01","IV",26,"TK","peak","1_01"
"TK_peak_1_01","S",48,"TK","peak","1_01"
"TK_peak_1_01","X",8660,"TK","peak","1_01"
"TK_peak_1_02","F",19,"TK","peak","1_02"
"TK_peak_1_02","X",7915,"TK","peak","1_02"
"TK_peak_1_03","F",9,"TK","peak","1_03"
"TK_peak_1_03","X",3769,"TK","peak","1_03"
"TK_peak_1_04","F",8,"TK","peak","1_04"
"TK_peak_1_04","X",14181,"TK","peak","1_04"
"TK_peak_1_05","IV",10,"TK","peak","1_05"
"TK_peak_1_05","X",5600,"TK","peak","1_05"
"TK_peak_1_06","F",19,"TK","peak","1_06"
"TK_peak_1_06","X",12981,"TK","peak","1_06"
"TK_peak_1_07","F",12,"TK","peak","1_07"
"TK_peak_1_07","X",6489,"TK","peak","1_07"
"TK_peak_1_08","F",10,"TK","peak","1_08"
"TK_peak_1_08","X",11597,"TK","peak","1_08"
"TK_peak_1_09","F",14,"TK","peak","1_09"
"TK_peak_1_09","IV",14,"TK","peak","1_09"
"TK_peak_1_09","S",3,"TK","peak","1_09"
"TK_peak_1_09","X",30850,"TK","peak","1_09"
"TK_peak_1_10","F",16,"TK","peak","1_10"
"TK_peak_1_10","IV",5,"TK","peak","1_10"
"TK_peak_1_10","X",12806,"TK","peak","1_10"
"TK_peak_2_01","IV",7,"TK","peak","2_01"
"TK_peak_2_01","X",21539,"TK","peak","2_01"
"TK_peak_2_02","F",32,"TK","peak","2_02"
"TK_peak_2_02","S",16,"TK","peak","2_02"
"TK_peak_2_02","X",9076,"TK","peak","2_02"
"TK_peak_2_03","F",4,"TK","peak","2_03"
"TK_peak_2_03","IV",33,"TK","peak","2_03"
"TK_peak_2_03","X",16474,"TK","peak","2_03"
"TK_peak_2_04","F",8,"TK","peak","2_04"
"TK_peak_2_04","IV",21,"TK","peak","2_04"
"TK_peak_2_04","X",33392,"TK","peak","2_04"
"TK_peak_2_05","F",13,"TK","peak","2_05"
"TK_peak_2_05","X",18211,"TK","peak","2_05"
"TK_peak_2_06","F",54,"TK","peak","2_06"
"TK_peak_2_06","S",12,"TK","peak","2_06"
"TK_peak_2_06","X",24836,"TK","peak","2_06"
"TK_peak_2_07","S",36,"TK","peak","2_07"
"TK_peak_2_07","X",14661,"TK","peak","2_07"
"TK_peak_2_08","IV",2,"TK","peak","2_08"
"TK_peak_2_09","X",11631,"TK","peak","2_09"
"TK_peak_2_10","IV",2146,"TK","peak","2_10"
"TK_peak_2_10","S",79,"TK","peak","2_10"
"RW_early_1_01","F",15,"RW","early","1_01"
"RW_early_1_01","X",23018,"RW","early","1_01"
"RW_early_1_02","S",53,"RW","early","1_02"
"RW_early_1_02","X",4412,"RW","early","1_02"
"RW_early_1_03","S",18,"RW","early","1_03"
"RW_early_1_03","X",10683,"RW","early","1_03"
"RW_early_1_04","F",16,"RW","early","1_04"
"RW_early_1_04","X",20242,"RW","early","1_04"
"RW_early_1_05","IV",7,"RW","early","1_05"
"RW_early_1_05","X",12571,"RW","early","1_05"
"RW_early_1_06","F",5,"RW","early","1_06"
"RW_early_1_06","X",12800,"RW","early","1_06"
"RW_early_1_07","F",183,"RW","early","1_07"
"RW_early_1_07","X",10475,"RW","early","1_07"
"RW_early_1_08","IV",35,"RW","early","1_08"
"RW_early_1_08","S",41,"RW","early","1_08"
"RW_early_1_08","X",18354,"RW","early","1_08"
"RW_early_1_09","S",14,"RW","early","1_09"
"RW_early_1_09","X",17758,"RW","early","1_09"
"RW_early_1_10","A_hudsonica",1,"RW","early","1_10"
"RW_early_1_10","X",5514,"RW","early","1_10"
"RW_early_2_02","X",23311,"RW","early","2_02"
"RW_early_2_04","X",9080,"RW","early","2_04"
"RW_early_2_05","F",6,"RW","early","2_05"
"RW_early_2_06","X",3718,"RW","early","2_06"
"RW_early_2_07","X",15598,"RW","early","2_07"
"RW_early_2_08","X",17643,"RW","early","2_08"
"RW_early_2_09","S",10,"RW","early","2_09"
"RW_early_2_09","X",22,"RW","early","2_09"
"RW_early_2_10","S",3,"RW","early","2_10"
"RW_early_2_10","X",15340,"RW","early","2_10"
"RW_late_1_01","X",12779,"RW","late","1_01"
"RW_late_1_02","X",10520,"RW","late","1_02"
"RW_late_1_03","IV",3777,"RW","late","1_03"
"RW_late_1_03","X",27,"RW","late","1_03"
"RW_late_1_04","F",4,"RW","late","1_04"
"RW_late_1_04","IV",4625,"RW","late","1_04"
"RW_late_1_04","X",136,"RW","late","1_04"
"RW_late_1_05","F",7,"RW","late","1_05"
"RW_late_1_05","IV",5,"RW","late","1_05"
"RW_late_1_05","X",20937,"RW","late","1_05"
"RW_late_1_06","F",14,"RW","late","1_06"
"RW_late_1_06","IV",6069,"RW","late","1_06"
"RW_late_1_07","F",10,"RW","late","1_07"
"RW_late_1_07","S",60,"RW","late","1_07"
"RW_late_1_07","X",9832,"RW","late","1_07"
"RW_late_1_08","S",8,"RW","late","1_08"
"RW_late_1_08","X",12450,"RW","late","1_08"
"RW_late_1_09","F",3,"RW","late","1_09"
"RW_late_1_09","X",12079,"RW","late","1_09"
"RW_late_1_10","F",78,"RW","late","1_10"
"RW_late_1_10","X",13998,"RW","late","1_10"
"RW_late_2_01","IV",28,"RW","late","2_01"
"RW_late_2_01","X",12901,"RW","late","2_01"
"RW_late_2_02","F",26,"RW","late","2_02"
"RW_late_2_02","IV",7,"RW","late","2_02"
"RW_late_2_02","S",12,"RW","late","2_02"
"RW_late_2_02","X",13602,"RW","late","2_02"
"RW_late_2_03","IV",12545,"RW","late","2_03"
"RW_late_2_03","S",35,"RW","late","2_03"
"RW_late_2_03","X",29,"RW","late","2_03"
"RW_late_2_04","F",10,"RW","late","2_04"
"RW_late_2_04","IV",7,"RW","late","2_04"
"RW_late_2_04","S",50,"RW","late","2_04"
"RW_late_2_04","X",18448,"RW","late","2_04"
"RW_late_2_05","F",3,"RW","late","2_05"
"RW_late_2_05","S",18,"RW","late","2_05"
"RW_late_2_05","X",32218,"RW","late","2_05"
"RW_late_2_06","F",9,"RW","late","2_06"
"RW_late_2_06","IV",7,"RW","late","2_06"
"RW_late_2_06","X",14130,"RW","late","2_06"
"RW_late_2_07","F",114,"RW","late","2_07"
"RW_late_2_07","X",35039,"RW","late","2_07"
"RW_late_2_08","F",27,"RW","late","2_08"
"RW_late_2_09","A_hudsonica",5,"RW","late","2_09"
"RW_late_2_09","F",4,"RW","late","2_09"
"RW_late_2_09","IV",14,"RW","late","2_09"
"RW_late_2_09","X",15867,"RW","late","2_09"
"RW_late_2_10","X",32983,"RW","late","2_10"
"RW_peak_1_01","S",52,"RW","peak","1_01"
"RW_peak_1_01","X",9889,"RW","peak","1_01"
"RW_peak_1_02","X",5951,"RW","peak","1_02"
"RW_peak_1_03","X",2764,"RW","peak","1_03"
"RW_peak_1_04","X",13610,"RW","peak","1_04"
"RW_peak_1_05","S",12,"RW","peak","1_05"
"RW_peak_1_05","X",11843,"RW","peak","1_05"
"RW_peak_1_06","F",19,"RW","peak","1_06"
"RW_peak_1_06","X",6509,"RW","peak","1_06"
"RW_peak_1_07","X",5435,"RW","peak","1_07"
"RW_peak_1_08","X",9463,"RW","peak","1_08"
"RW_peak_1_09","X",5883,"RW","peak","1_09"
"RW_peak_1_10","X",26384,"RW","peak","1_10"
"RW_peak_2_01","F",27,"RW","peak","2_01"
"RW_peak_2_01","X",26409,"RW","peak","2_01"
"RW_peak_2_02","F",2,"RW","peak","2_02"
"RW_peak_2_02","X",16136,"RW","peak","2_02"
"RW_peak_2_03","F",62,"RW","peak","2_03"
"RW_peak_2_03","X",19294,"RW","peak","2_03"
"RW_peak_2_04","X",10759,"RW","peak","2_04"
"RW_peak_2_05","F",15,"RW","peak","2_05"
"RW_peak_2_05","X",12910,"RW","peak","2_05"
"RW_peak_2_06","F",4,"RW","peak","2_06"
"RW_peak_2_06","IV",10,"RW","peak","2_06"
"RW_peak_2_06","X",12581,"RW","peak","2_06"
"RW_peak_2_07","F",17,"RW","peak","2_07"
"RW_peak_2_08","X",21696,"RW","peak","2_08"
"RW_peak_2_09","IV",9,"RW","peak","2_09"
"RW_peak_2_10","IV",588,"RW","peak","2_10"
"RW_peak_2_10","X",57,"RW","peak","2_10"
