collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
11/20/23,Esker Point,late,10,36,1,1,56,43,0.996
11/20/23,Esker Point,late,10,36,1,2,69,40,0.963
11/20/23,Esker Point,late,10,36,1,3,55,46,0.948
11/20/23,Esker Point,late,10,36,1,4,66,47,1.022
11/20/23,Esker Point,late,10,36,1,5,59,12,1.006
11/20/23,Esker Point,late,10,36,1,6,55,8,0.953
11/20/23,Esker Point,late,10,36,1,7,45,57,0.982
11/20/23,Esker Point,late,10,36,1,8,60,41,0.996
11/20/23,Esker Point,late,10,36,1,9,78,23,1.092
11/20/23,Esker Point,late,10,36,1,10,47,16,0.966
