collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
9/8/23,Ritchie Wharf,peak,23,2,1,1,44,11,0.79
9/8/23,Ritchie Wharf,peak,23,2,1,2,42,39,0.783
9/8/23,Ritchie Wharf,peak,23,2,1,3,43,8,0.792
9/8/23,Ritchie Wharf,peak,23,2,1,4,37,25,0.882
9/8/23,Ritchie Wharf,peak,23,2,1,5,41,16,0.841
9/8/23,Ritchie Wharf,peak,23,2,1,6,41,32,0.886
9/8/23,Ritchie Wharf,peak,23,2,1,7,39,50,0.837
9/8/23,Ritchie Wharf,peak,23,2,1,8,41,51,0.819
9/8/23,Ritchie Wharf,peak,23,2,1,9,38,12,0.786
9/8/23,Ritchie Wharf,peak,23,2,1,10,40,37,0.802
