collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
9/1/23,Esker Point,peak,20,35,1,1,55,11,1.129
9/1/23,Esker Point,peak,20,35,1,2,49,40,1.043
9/1/23,Esker Point,peak,20,35,1,3,55,52,0.909
9/1/23,Esker Point,peak,20,35,1,5,48,50,1.044
9/1/23,Esker Point,peak,20,35,1,6,54,2,0.87
9/1/23,Esker Point,peak,20,35,1,7,59,7,0.915
9/1/23,Esker Point,peak,20,35,1,8,49,10,0.777
9/1/23,Esker Point,peak,20,35,1,9,46,15,1.056
9/1/23,Esker Point,peak,20,35,1,10,57,52,1.083
