collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/25/23,Ganey's Wharf,peak,28.5,3,1,1,26,2,0.754
8/25/23,Ganey's Wharf,peak,28.5,3,1,2,20,16,0.78
8/25/23,Ganey's Wharf,peak,28.5,3,1,3,15,50,0.728
8/25/23,Ganey's Wharf,peak,28.5,3,1,4,28,36,0.718
8/25/23,Ganey's Wharf,peak,28.5,3,1,5,18,22,0.758
8/25/23,Ganey's Wharf,peak,28.5,3,1,6,18,53,0.736
8/25/23,Ganey's Wharf,peak,28.5,3,1,7,22,4,0.687
8/25/23,Ganey's Wharf,peak,28.5,3,1,8,26,25,0.72
8/25/23,Ganey's Wharf,peak,28.5,3,1,9,22,43,0.751
8/25/23,Ganey's Wharf,peak,28.5,3,1,10,21,22,0.73
