collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/25/23,Ganey's Wharf,peak,28.5,3,2,1,16,42,0.758
8/25/23,Ganey's Wharf,peak,28.5,3,2,2,12,20,0.704
8/25/23,Ganey's Wharf,peak,28.5,3,2,3,9,12,0.754
8/25/23,Ganey's Wharf,peak,28.5,3,2,4,17,8,0.697
8/25/23,Ganey's Wharf,peak,28.5,3,2,5,17,23,0.724
8/25/23,Ganey's Wharf,peak,28.5,3,2,6,15,51,0.698
8/25/23,Ganey's Wharf,peak,28.5,3,2,7,19,46,0.72
8/25/23,Ganey's Wharf,peak,28.5,3,2,8,22,58,0.726
8/25/23,Ganey's Wharf,peak,28.5,3,2,9,13,44,0.756
8/25/23,Ganey's Wharf,peak,28.5,3,2,10,16,21,0.72
