collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
11/20/23,Esker Point,late,10,36,2,1,76,0,0.99
11/20/23,Esker Point,late,10,36,2,2,72,7,1.034
11/20/23,Esker Point,late,10,36,2,3,59,4,1.038
11/20/23,Esker Point,late,10,36,2,4,63,33,0.98
11/20/23,Esker Point,late,10,36,2,5,53,49,0.986
11/20/23,Esker Point,late,10,36,2,6,54,13,0.994
11/20/23,Esker Point,late,10,36,2,7,83,41,1.06
11/20/23,Esker Point,late,10,36,2,8,81,21,0.98
11/20/23,Esker Point,late,10,36,2,9,74,37,0.95
11/20/23,Esker Point,late,10,36,2,10,52,40,1.03
