collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
11/30/23,Manatee River,late,19,34,2,1,34,20,0.859
11/30/23,Manatee River,late,19,34,2,2,34,40,0.88
11/30/23,Manatee River,late,19,34,2,3,36,50,0.754
11/30/23,Manatee River,late,19,34,2,4,35,51,0.75
11/30/23,Manatee River,late,19,34,2,5,36,7,0.745
11/30/23,Manatee River,late,19,34,2,6,36,20,0.672
11/30/23,Manatee River,late,19,34,2,7,38,8,0.691
11/30/23,Manatee River,late,19,34,2,8,39,55,0.635
11/30/23,Manatee River,late,19,34,2,9,39,41,0.642
11/30/23,Manatee River,late,19,34,2,10,41,40,0.659
