collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/10/23,Ft. Hamer,peak,36,10,1,1,21,41,0.61
8/10/23,Ft. Hamer,peak,36,10,1,2,21,56,0.586
8/10/23,Ft. Hamer,peak,36,10,1,3,22,7,0.575
8/10/23,Ft. Hamer,peak,36,10,1,4,19,52,0.622
8/10/23,Ft. Hamer,peak,36,10,1,5,23,29,0.627
8/10/23,Ft. Hamer,peak,36,10,1,6,22,41,0.607
8/10/23,Ft. Hamer,peak,36,10,1,7,22,35,0.539
8/10/23,Ft. Hamer,peak,36,10,1,8,20,43,0.588
8/10/23,Ft. Hamer,peak,36,10,1,9,21,1,0.545
8/10/23,Ft. Hamer,peak,36,10,1,10,21,23,0.614
