collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
9/8/23,Ritchie Wharf,peak,23,2,2,1,26,48,0.784
9/8/23,Ritchie Wharf,peak,23,2,2,2,23,17,0.794
9/8/23,Ritchie Wharf,peak,23,2,2,3,20,2,0.809
9/8/23,Ritchie Wharf,peak,23,2,2,4,17,31,0.865
9/8/23,Ritchie Wharf,peak,23,2,2,5,18,1,0.815
9/8/23,Ritchie Wharf,peak,23,2,2,6,22,3,0.789
9/8/23,Ritchie Wharf,peak,23,2,2,7,24,46,0.777
9/8/23,Ritchie Wharf,peak,23,2,2,8,29,10,0.738
9/8/23,Ritchie Wharf,peak,23,2,2,9,21,24,0.799
9/8/23,Ritchie Wharf,peak,23,2,2,10,25,10,0.869
