collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/9/23,Manatee River,peak,34,29,1,1,45,19,0.737
8/9/23,Manatee River,peak,34,29,1,2,43,40,0.757
8/9/23,Manatee River,peak,34,29,1,3,42,57,0.787
8/9/23,Manatee River,peak,34,29,1,4,43,54,0.729
8/9/23,Manatee River,peak,34,29,1,5,44,26,0.82
8/9/23,Manatee River,peak,34,29,1,6,44,44,0.787
8/9/23,Manatee River,peak,34,29,1,7,45,44,0.775
8/9/23,Manatee River,peak,34,29,1,8,49,15,0.731
8/9/23,Manatee River,peak,34,29,1,9,45,1,0.763
8/9/23,Manatee River,peak,34,29,1,10,47,32,0.79
