collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
7/7/23,Esker Point,early,22.5,30,1,1,35,55,0.985
7/7/23,Esker Point,early,22.5,30,1,2,39,30,0.859
7/7/23,Esker Point,early,22.5,30,1,3,34,8,0.9
7/7/23,Esker Point,early,22.5,30,1,4,42,29,0.777
7/7/23,Esker Point,early,22.5,30,1,5,28,13,0.954
7/7/23,Esker Point,early,22.5,30,1,6,45,47,0.777
7/7/23,Esker Point,early,22.5,30,1,7,44,17,0.799
7/7/23,Esker Point,early,22.5,30,1,8,46,22,0.788
7/7/23,Esker Point,early,22.5,30,1,9,52,16,0.783
7/7/23,Esker Point,early,22.5,30,1,10,48,39,0.757
