collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/9/23,Manatee River,peak,34,29,2,1,19,8,0.808
8/9/23,Manatee River,peak,34,29,2,2,19,44,0.778
8/9/23,Manatee River,peak,34,29,2,3,18,26,0.761
8/9/23,Manatee River,peak,34,29,2,4,16,55,0.776
8/9/23,Manatee River,peak,34,29,2,5,22,32,0.772
8/9/23,Manatee River,peak,34,29,2,6,22,6,0.616
8/9/23,Manatee River,peak,34,29,2,7,20,51,0.593
8/9/23,Manatee River,peak,34,29,2,8,17,27,0.771
8/9/23,Manatee River,peak,34,29,2,9,17,59,0.725
8/9/23,Manatee River,peak,34,29,2,10,23,31,0.79
