collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
8/10/23,Ft. Hamer,peak,36,10,2,1,27,6,0.615
8/10/23,Ft. Hamer,peak,36,10,2,2,25,48,0.642
8/10/23,Ft. Hamer,peak,36,10,2,3,22,19,0.656
8/10/23,Ft. Hamer,peak,36,10,2,4,22,33,0.614
8/10/23,Ft. Hamer,peak,36,10,2,5,26,15,0.608
8/10/23,Ft. Hamer,peak,36,10,2,6,23,57,0.617
8/10/23,Ft. Hamer,peak,36,10,2,7,26,30,0.623
8/10/23,Ft. Hamer,peak,36,10,2,8,24,47,0.624
8/10/23,Ft. Hamer,peak,36,10,2,9,27,16,0.643
8/10/23,Ft. Hamer,peak,36,10,2,10,25,15,0.623
