collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
7/7/23,Esker Point,early,24,30,2,1,57,57,0.82
7/7/23,Esker Point,early,24,30,2,2,47,30,0.817
7/7/23,Esker Point,early,24,30,2,3,23,6,0.687
7/7/23,Esker Point,early,24,30,2,4,56,11,0.797
7/7/23,Esker Point,early,24,30,2,5,41,55,1.02
7/7/23,Esker Point,early,24,30,2,6,48,20,0.813
7/7/23,Esker Point,early,24,30,2,7,53,50,0.862
7/7/23,Esker Point,early,24,30,2,8,53,17,0.898
7/7/23,Esker Point,early,24,30,2,9,55,41,0.804
7/7/23,Esker Point,early,24,30,2,10,55,18,0.786
