collection_date,site,season,collection_temp,collection_salinity,replicate,tube,ctmax_minute,ctmax_second,size
9/5/23,Sawyer Park,peak,22,30,1,1,35,28,0.94
9/5/23,Sawyer Park,peak,22,30,1,2,44,18,0.95
9/5/23,Sawyer Park,peak,22,30,1,3,40,56,0.953
9/5/23,Sawyer Park,peak,22,30,1,4,28,1,0.865
9/5/23,Sawyer Park,peak,22,30,1,5,43,55,0.947
9/5/23,Sawyer Park,peak,22,30,1,6,50,19,0.856
9/5/23,Sawyer Park,peak,22,30,1,7,33,40,0.982
9/5/23,Sawyer Park,peak,22,30,1,8,48,43,0.962
9/5/23,Sawyer Park,peak,22,30,1,9,36,41,1.009
9/5/23,Sawyer Park,peak,22,30,1,10,44,51,0.929
